団体名,所属,所在地,URL,概要
やまなび,早稲田大学,東京都,https://www.rodorigues.com/yamanabi-kikaku,皆様は里山についてどのようなことを知っていますか？里山とは人と共に生きる森や山のことを言います。昔から人と里山は密接に関わって来ました。現代でも美味しい食材や、自然ならではの魅力が満載の場所です。しかし、高齢化などに伴い、管理する人が減少し、里山が衰退してしまっているところも少なくありません。その結果、荒れ地の増加や鳥獣害が起こっています。私たちやまなびは、里山について学び、魅力や問題点を発見し、里山の現状を発信する活動を行なっています。具体的な活動としては、実際に里山に訪問し、フィールドワークを行なったり、間伐材を利用した森パチンコというスポーツのイベント出展などを行なっています。
思惟の森の会,早稲田大学,東京都,http://moriwaseda.wixsite.com/morinokai,私たち「思惟の森の会（しいのもりのかい）」は、早稲田大学の公認サークルです。もちろん他大生でも参加可能です。数ある早稲田のサークルの中でも長い歴史をもち、2018年で創立50年を迎えます。主な活動は、岩手県田野畑村での年三回の合宿です。この合宿では、山での育林作業と、地域交流、仲間との共同生活の三つを柱として、様々な活動を行っています。在京では、週に一度ミーティングをひらいているほか、大学のキャンパスで草刈りをしたり、早稲田祭や稲門祭、ボランティアフェアといった大学のイベント、環境系のコンテストなどに参加したり、友好サークルと一緒に早慶戦などのイベントのお手伝いをしたりしています。
えこのわぐま,早稲田大学,東京都,https://www.rodorigues.com/ekonowaguma-kikaku,えこのわぐまでは、早稲田地域の祭り、早稲田のOBOGの祭り、そして早稲田祭ではエコ容器の導入やゴミ分別指導に取り組んでいます。それぞれのお祭りを楽しみながら、参加者や来場者と一緒に「ちょっと」だけ環境のことを考えて活動しています。その「ちょっと」考えるが環境問題解決の第一歩になります。新歓期に大量に配られるサークルのビラがキャンパス内に散らばります。それを中心になって回収しているのもえこのわぐまです。各サークルに呼びかけて一緒にビラを回収しています。中には入学式終わりにスーツ姿で回収してくれる新入生もいます。楽しい新歓を早稲田に関わるみんなで支えています。専門知識がなくても大丈夫！
aRc(アーク),早稲田大学,東京都,https://www.rodorigues.com/dream-connection-kikaku,"『オリパラに何か関わろう』となると、まず公式の大会ボランティアを思い浮かべる人が多いのではないでしょうか。もちろんそれもいいですが私達aRcは、2020年東京オリンピック・パラリンピックへの積極的な関わり方の１つの選択肢として、""環境""という視点からの関わり方を提案します。オリパラについて考える上で、実は""環境""という視点そのものは特に目新しいものというわけではありません。なぜなら、「環境」は近代のオリンピック・ムーブメントにおいて、「スポーツ」、「文化」に並ぶ３つ目の重要なテーマとして位置づけられているからです。"
えこまな＠京田辺,同志社大学,京都府,http://www.ecomanakyotanabe.com,『えこまな＠京田辺』は京田辺市内での環境活動に取り組む学生主体のプロジェクトチームです。主に同志社大学、同志社女子大学の学生が中心となって、大学のサポートのもと京田辺市や地域の方々と連携して環境活動に取り組んでいます。発足した2015年度から継続している小学校での環境教育授業の実施の他、昨年度は自然体験イベントを開催したり、地域の環境イベントへの出展を行ったりなど、様々な活動に取り組みました。そして今年度は、公園の池の整備活動や、地域のイベントへの参加など活動の幅をさらに広げています。環境問題はいまや世界規模での問題となっていますが、私たちは、身近なところから問題解決を目指していきます。
ecoSMILE,早稲田大学,東京都,https://envecosmile.wixsite.com/rodoecosmile,私たちecoSMILEは、「環境×教育」をテーマに活動を始めて今年で11年目となりました。「環境教育を通して、持続可能な社会を形成する人材を育成する」という活動理念の下、たくさんの子どもたちが楽しみながら「環境」に興味を持ち、自ら行動を始めるきっかけとなれるような活動を目指し、日々様々なイベント・授業等を通じて働きかけを行っています。そして、子どもたちと一緒に私たちも成長できるよう、日々のミーティングで様々な環境問題に興味をもって学び合いながら楽しく活動しています！
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,